what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412596338911
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412596340897
opened,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1412596340983
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1412596341078
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1412596347240
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412596351794
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412596365538
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1412596367841
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412596367949
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412596369368
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412596372138
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412596392137
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1412596393509
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1412596394433
closed,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1412596399578
closed,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1412596400490
closed,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1412596401833
closed,editor,org.jboss.tools.jst.jsp,3.2.1.v20111025-0510-H215-Final,"org.jboss.tools.jst.jsp.jspeditor.JSPTextEditor",1412596403218
closed,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1412596404693
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1412596405587
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1412596411497
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1412596417383
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1412596421023
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412596425070
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412596426441
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412596426473
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412596427988
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.launchShortcut.run",1412596427999
opened,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1412596433217
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1412596433274
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1412596438853
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1412596477101
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412596485018
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412596485042
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1412596535716
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412596613457
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412596755066
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412596755319
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1412596757909
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1412596763405
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1412596764343
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1412596791184
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1412596816730
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412596818110
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412596818261
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1412596838939
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1412596841352
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1412596847821
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1412596857643
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1412596859987
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412596863613
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412596865646
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412596866722
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412596966390
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1412596968217
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.publish",1412596971659
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412596973572
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412596974723
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.publish",1412596977186
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.run",1412596979538
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1412596980289
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1412596986933
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1412596993273
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1412597009147
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1412597011421
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1412597017396
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1412597019587
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412597022870
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412597024204
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1412597024234
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1412597030678
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1412597033699
closed,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1412597033700
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412597037394
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412597039061
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1412597039225
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1412597040234
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1412597040236
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1412597040256
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1412597040267
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1412597040280
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1412597040284
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1412597040285
